id,cluster,E15 cpn,E16 cpn,E18 cpn,P1 cpn,E15 subcereb,E16 subcereb,E18 subcereb,P1 subcereb,E15 corticothal,E16 corticothal,E18 corticothal,P1 corticothal,gene type
1700016K19Rik,16,0,0,0.05584869,0.074237727,0,0.076751096,0.396664787,0.616516473,0.012475049,0.040497986,0.143447629,0.458093696,Protein
1700019D03Rik,16,0,0.042516448,0.150046564,0.203113153,0.119855106,0.629700051,0.591862308,0.452765946,0.091132112,0.290927893,0.381051873,0.431847652,Protein
1700019E19Rik,15,1.256821137,1.162199852,1.076177872,0.944200289,1.068734879,1.070525481,1.031610011,0.843738434,0.913814382,0.860197812,0.946634002,0.873507767,Protein
1700019G17Rik,19,0.450436954,0.462326109,0.461324414,0.36334681,0.579729878,0.577625055,0.607881602,0.497009861,0.488760763,0.466471684,0.515736119,0.353221651,Protein
1700025G04Rik,13,0.913800611,0.894804923,0.863124705,0.752674457,0.817172542,0.845847482,0.825040989,0.706565027,0.897721087,0.922036371,0.89130157,0.870924512,Protein
1700029F09Rik,19,0.916026287,0.801961143,0.721578985,0.603542744,0.776637996,0.723645275,0.603144373,0.577327472,0.791971201,0.581306668,0.673237539,0.614116471,Protein
1700029I01Rik,19,0.391482044,0.350649168,0.253899898,0.098205404,0.316402327,0.368630836,0.244224903,0.111071207,0.35605838,0.427731102,0.152993347,0.093426588,Protein
1700029J07Rik,12,0.425408674,0.557776597,0.61806484,0.61877689,0.619779725,0.659333265,0.684046027,0.743878837,0.650648412,0.736534339,0.798486977,0.764721461,Protein
1700030J22Rik,11,0.407463989,0.422300871,0.448927275,0.359590767,0.454236422,0.585407709,0.684241955,0.607372446,0.495134825,0.453451361,0.470276683,0.392711019,Protein
1700034H14Rik,19,1.099763487,1.064267007,0.966949473,0.691678126,1.055236857,1.013867767,0.89897735,0.68363411,1.023077883,1.075295071,1.05376969,0.716931074,Protein
1700037H04Rik,14,1.512542987,1.523782873,1.499673339,1.383795625,1.437454064,1.597646928,1.630682071,1.702381417,1.353059871,1.350453484,1.349683456,1.307932253,Protein
1700040L02Rik,16,0,0,0,0,0,0.00458097,0.053368901,0.106919778,0,0,0,0.006107933,Protein
1700045I19Rik,9,0,0.009623729,0.066149189,0.117258366,0.025258582,0.038724849,0.104319097,0.069894064,0.131712954,0.169524256,0.278748801,0.306377842,Protein
1700048O20Rik,17,1.067182486,1.079763534,1.193831144,1.286790932,1.079448978,1.081185227,1.106602211,1.174789321,1.046842305,1.131204701,1.28006365,1.383731011,Protein
1700049G17Rik,19,0.698863155,0.734985345,0.688259602,0.448417209,0.76195113,0.703364471,0.635452581,0.368625261,0.763641344,0.766985827,0.669925582,0.456977563,Protein
1700057K13Rik,4,0.033914593,0.03258927,0.007552259,0.098688364,0.022660881,0.026945261,0,0.112424678,0.02102196,0.021807625,0,0.073032834,Protein
1700066M21Rik,10,1.304505607,1.185459991,1.102999361,1.173669844,0.690993032,0.793392215,0.850783424,0.997099236,0.729619912,0.721362905,0.7413746,0.867433309,Protein
1700081L11Rik,19,1.64265541,1.612001422,1.532312218,1.47862132,1.663846922,1.569641895,1.455380921,1.344089538,1.668575064,1.593465509,1.514561034,1.451450226,Protein
1700086L19Rik,17,0.801177242,1.084955003,1.133379212,1.501152413,0.81370839,1.180108664,1.174603426,1.3743872,0.630751187,0.930399834,1.08007425,1.308284753,Protein
1700094D03Rik,19,0.941186335,0.840165712,0.790330914,0.727588425,1.027525737,0.862889539,0.701868347,0.563948353,1.014584376,0.930490056,0.890365121,0.758204643,Protein
1700102P08Rik,19,0.797271004,0.766845439,0.73436772,0.518545524,0.836775901,0.785539812,0.686956064,0.549320892,0.891023694,0.795156749,0.743624203,0.591016721,Protein
1810011O10Rik,3,0.556145644,0.402025682,0.259207907,0.068510162,0.851065014,0.618088908,0.485472984,0.435023717,0.838029452,0.652989519,0.536626611,0.331498155,Protein
1810012P15Rik,4,0.588864185,0.721092241,0.664313781,0.733886291,0.597183821,0.793088103,0.855071911,0.857193138,0.246060126,0.269439388,0.241020726,0.244480239,Protein
1810013D10Rik,18,1.076196093,1.045663238,1.028688757,1.105768981,1.084637039,1.082153209,1.153988547,1.258771333,0.907075298,1.024674861,1.005488529,1.043177516,Protein
1810013L24Rik,19,1.314562378,1.263342495,1.199483658,0.790469542,1.302445657,1.307239236,1.279347492,0.829218192,1.321003638,1.259493535,1.196386232,0.824251481,Protein
1810027O10Rik,18,1.542854047,1.513394745,1.530939546,1.646556634,1.499479506,1.525964278,1.610132942,1.764707276,1.399187247,1.364624153,1.434736522,1.622763022,Protein
1810041L15Rik,7,0.261158626,0.313221624,0.239558477,0.312139259,0.863302037,0.3324526,0.35508738,0.575348366,0.756689346,0.524075314,0.477302173,0.461439997,Protein
1810043G02Rik,18,0.976283477,1.059381635,1.10755252,1.192631561,1.063081793,1.093523242,1.168939214,1.276893586,1.091128591,1.072404319,1.119628642,1.166729014,Protein
1810046J19Rik,18,1.742226152,1.733653797,1.76309166,1.861163878,1.757836174,1.822653773,1.90294013,2.057156212,1.710325573,1.681191472,1.771535304,1.927575655,Protein
1810058I24Rik,14,1.181429096,1.187359946,1.193580925,1.187999872,1.119394472,1.119315287,1.190340104,1.340198143,1.009754201,0.957996398,0.933279708,0.827836276,Protein
2010002N04Rik,17,0.149181226,0.14409326,0.233898809,0.380272762,0.219783554,0.185545271,0.187859282,0.219045121,0.096938154,0.134042845,0.110228658,0.086424258,Protein
2010011I20Rik,10,1.34544235,1.168830295,0.914459518,0.789069975,0.758177359,0.461573554,0.502831181,0.491106646,0.594996606,0.593634914,0.458264573,0.383041202,Protein
2010012O05Rik,17,0.722368165,0.762412205,0.848906189,0.915908764,0.477076375,0.563695806,0.660732704,0.636340432,0.536106238,0.582978736,0.747027843,0.846731015,Protein
2010015L04Rik,17,0.209782479,0.231519287,0.328815718,0.298235459,0.26579271,0.324397703,0.476820039,0.307744135,0.247913884,0.322510795,0.393368096,0.299546085,Protein
2010106G01Rik,19,1.211056434,1.161212227,1.094285911,0.965845372,1.26522832,1.136276536,1.050375889,1.038126781,1.221755801,1.173390251,1.099207424,1.026772612,Protein
2010107E04Rik,18,2.029022392,2.012470238,2.058555079,2.1256569,2.053378119,2.123145747,2.205759062,2.322239975,2.023450008,1.993293794,2.05351636,2.138574245,Protein
2010107G23Rik,12,1.103334977,1.180959814,1.26314351,1.317166678,1.40951891,1.573222148,1.563162961,1.52240641,1.521193021,1.444446099,1.510595943,1.501706796,Protein
2010109K11Rik,13,1.027089769,1.061893336,1.114707706,1.003256262,0.977416748,0.935530441,0.936695163,0.812650028,1.018002738,1.010068752,1.077673076,1.012898781,Protein
2010300C02Rik,16,0.039487883,0.074801087,0.19249776,0.370864528,0.022333006,0.162419518,0.45415859,0.660758314,0.15569699,0.185737303,0.19421009,0.477099539,Protein
2010315B03Rik,15,0.580012113,0.79456263,0.862022792,0.552795931,0.360708882,0.516175626,0.624208848,0.34583425,0.391365657,0.548682944,0.720236229,0.472244353,Protein
2200002K05Rik,16,0.183132272,0.32811038,0.636105589,0.889732421,0.166618652,0.510472622,0.855480994,1.012180227,0.261965025,0.525153691,0.770542743,0.923956547,Protein
2210012G02Rik,19,0.866560238,0.921216559,0.937795631,0.771507375,0.933352119,0.935363149,0.933101921,0.758920215,0.968577736,0.947033065,0.924731441,0.746301735,Protein
2210013O21Rik,18,1.004695308,1.07661496,1.13687904,1.240783804,1.136454203,1.152126218,1.218477735,1.32033534,1.212461949,1.214430542,1.275426537,1.314596055,Protein
2210016F16Rik,15,0.73126393,0.621345603,0.581716471,0.602921211,0.585152666,0.554411622,0.633958023,0.58915285,0.468673667,0.464294265,0.571440954,0.612235876,Protein
2210016L21Rik,18,1.574993755,1.629170977,1.674885931,1.781121776,1.625035526,1.653007865,1.703705695,1.860400301,1.647030697,1.640243852,1.723568131,1.845009311,Protein
2210018M11Rik,19,1.439151042,1.415665996,1.315216495,1.117880869,1.429657015,1.294726284,1.158691105,0.917357919,1.437414409,1.411782957,1.316056357,1.112380424,Protein
2210411K11Rik,16,0.345961542,0.372455386,0.439686302,0.736405268,0.261335919,0.457117047,0.500901682,0.819298424,0.114070949,0.233402785,0.29966874,0.600681091,Protein
2310001A20Rik,18,1.221382936,1.209839274,1.20200853,1.419668325,1.256515702,1.250422442,1.2298149,1.472313155,1.232602273,1.202526459,1.180876779,1.333296102,Protein
2310003F16Rik,18,1.789034681,1.77118092,1.738843162,1.802424782,1.726466391,1.832681319,1.903928993,2.016331219,1.695455408,1.669449845,1.72932843,1.832729197,Protein
2310003H01Rik,14,1.376461982,1.400565618,1.499901428,1.548797107,1.339944091,1.478774215,1.631668976,1.778792086,1.334785377,1.303407751,1.390235436,1.458726965,Protein
2310003L22Rik,15,1.048771866,1.109905747,1.038991915,1.020596186,0.809193271,1.037439248,1.087965883,1.142905432,0.754241278,0.776225233,0.802580815,0.83912217,Protein
2310004I24Rik,19,1.015744414,0.978552545,0.948319054,0.769986241,1.033163101,0.951895331,0.930239223,0.841439563,1.067465152,1.043267941,0.989835439,0.889664677,Protein
2310005E10Rik,-1,0.039279725,6.38E-06,0.113896914,3.21E-05,0.023937692,0,0.012999738,0.005347718,0.033934877,0.044273536,0.02669102,3.18E-07,Protein
2310008H09Rik,19,1.373287248,1.251973848,1.17330867,1.190250435,1.396010938,1.339365965,1.326755613,1.302424013,1.343012526,1.244873093,1.165822802,1.177614406,Protein
2310014H01Rik,15,1.689805926,1.673600502,1.627307469,1.491441541,1.528210719,1.510902754,1.54409286,1.454201323,1.487380212,1.360822427,1.401503932,1.223675021,Protein
2310021P13Rik,19,1.775150792,1.731809482,1.692712999,1.720103876,1.802874251,1.711352458,1.641751653,1.593906045,1.787953293,1.751732412,1.713479623,1.72637099,Protein
2310022B05Rik,8,1.685319776,1.68441085,1.702688107,1.833843593,1.593619415,1.661922428,1.641116017,1.591597682,1.493863575,1.507611681,1.613232749,1.682065614,Protein
2310028H24Rik,18,1.522989042,1.532267595,1.614653648,1.773821538,1.454390518,1.64468964,1.767149185,1.859447539,1.48007884,1.504969437,1.603092384,1.774029114,Protein
2310028O11Rik,18,1.325632636,1.276312418,1.262246947,1.420866316,1.35016852,1.368913231,1.332024168,1.483460342,1.306068867,1.271751022,1.261317598,1.458030167,Protein
2310033P09Rik,19,0.977966742,0.929304972,0.803706285,0.667505252,0.940368541,0.848743182,0.829555269,0.820684106,0.824242368,0.783072768,0.682880316,0.641522693,Protein
2310037I24Rik,19,1.918362225,1.857629163,1.818458819,1.722878144,1.849348152,1.787369072,1.689880437,1.629986236,1.804116933,1.754107419,1.741298178,1.654940459,Protein
2310039H08Rik,18,0.767684122,0.77643457,0.797878033,1.0070403,0.735969169,0.736146213,0.710227406,1.08385006,0.724207852,0.66702966,0.670790236,0.974265692,Protein
2310042D19Rik,19,0.760632794,0.769745729,0.75665132,0.702421058,0.808647075,0.733957618,0.606951808,0.510936235,0.828448497,0.767357748,0.705041365,0.685142267,Protein
2310044G17Rik,19,1.463446526,1.351919932,1.279007246,1.099535622,1.528487333,1.449617228,1.339153196,1.188844147,1.516549916,1.436814395,1.355888086,1.182605791,Protein
2310044H10Rik,18,1.68817947,1.671308018,1.690474294,1.897144151,1.649075763,1.739462373,1.723941416,1.967073175,1.544665718,1.610832569,1.64197554,1.824093277,Protein
2310046A06Rik,17,0.41302468,0.98341247,1.346407747,1.417051312,0.638973201,1.103892623,1.206987695,1.182782591,1.062062777,1.050364287,1.196015818,1.232787802,Protein
2400001E08Rik,18,1.601087169,1.555314564,1.560849563,1.714179659,1.598483001,1.651247961,1.670677149,1.805621818,1.552475965,1.544940719,1.580426562,1.725302213,Protein
2410002O22Rik,13,1.217570794,1.17634597,1.174062717,1.038732198,1.280644374,1.27392678,1.25765218,1.15424742,1.308156604,1.29136885,1.293382446,1.20093527,Protein
2410003K15Rik,18,0.934497946,0.942900541,0.918411488,1.119638533,0.924725759,0.919628199,1.003670304,1.230293058,0.906673832,0.967926883,0.940649442,1.140611733,Protein
2410015M20Rik,18,1.394252,1.322537661,1.267420496,1.388564746,1.373068394,1.308487578,1.355208155,1.553540794,1.274035398,1.241212663,1.301628909,1.439223712,Protein
2410016O06Rik,8,1.049473871,0.917089921,0.9105417,1.013357645,0.944594686,0.928982368,0.900665842,1.014961749,0.904032468,0.808649774,0.857117105,0.950762937,Protein
2410022L05Rik,14,1.213012779,1.180515819,1.267572972,1.311243,1.147382574,1.265546543,1.405899336,1.460052476,1.075181855,1.081163612,1.168090694,1.208653614,Protein
2410066E13Rik,19,1.780737719,1.876581525,1.837669861,1.869536792,1.962323394,1.675545556,1.753254341,1.709571826,1.931810655,1.825334575,1.76455196,1.706056025,Protein
2410089E03Rik,19,1.285093514,1.293298456,1.191314053,1.115500676,1.34561287,1.223555643,1.13640662,1.027961674,1.328185861,1.325275462,1.19965372,1.124429228,Protein
2410091C18Rik,18,1.035099789,1.10356428,1.131596211,1.115653773,1.141866621,1.222786681,1.236408768,1.303794151,1.133411156,1.200877846,1.213708964,1.166282067,Protein
2410127L17Rik,19,0.71771626,0.621344564,0.615482908,0.507564446,0.808731409,0.855477965,0.76689224,0.68392645,0.758439511,0.753120944,0.613225342,0.620040229,Protein
2410131K14Rik,8,1.186654088,1.121418667,1.073204956,1.172144462,1.101086885,1.036895458,1.109007886,1.191481755,0.969735458,0.942633483,0.976243112,1.06108287,Protein
2510006D16Rik,18,1.519713829,1.524027237,1.514207621,1.75395056,1.492852545,1.486768997,1.527481674,1.79366329,1.476699785,1.480715329,1.527910748,1.730806492,Protein
2510009E07Rik,15,1.074673846,1.241802898,1.303627976,1.412492467,0.950897658,1.062679736,1.163852832,1.184148934,0.881938443,0.99798891,0.920842553,0.849646637,Protein
2510039O18Rik,18,1.141825895,1.068237825,1.047134624,1.304628377,1.094425705,1.100356758,1.11425059,1.331690426,1.048270849,1.02992124,1.016235844,1.210462993,Protein
2510049J12Rik,19,0.472718429,0.50550948,0.477125598,0.378277954,0.537748595,0.490149583,0.349403814,0.275218035,0.556782372,0.523494139,0.452710821,0.341517616,Protein
2610001J05Rik,4,1.224628871,1.200721941,1.223687995,1.201479059,1.179428264,1.180432699,1.382595116,1.443638431,0.72597367,0.728117494,0.889702749,0.912131148,Protein
2610002J02Rik,19,1.440495046,1.405214839,1.376237418,1.306628723,1.343345562,1.366829976,1.269629674,1.192433632,1.305723156,1.314225471,1.312071521,1.164159462,Protein
2610002M06Rik,17,0.755690432,0.8050541,0.940979917,0.874384395,0.738300033,0.764079695,0.913164043,0.88969883,0.898612206,0.944223993,1.052251344,1.077251593,Protein
2610008E11Rik,19,1.332003948,1.366887824,1.315987129,1.093922236,1.395065913,1.308816167,1.243514271,1.001346395,1.411932689,1.424156118,1.365471137,1.125871467,Protein
2610019F03Rik,11,0.243591607,0.200555581,0.306317781,0.291063005,0.339737564,0.467970483,0.522611137,0.36030745,0.300851247,0.261617061,0.290064454,0.244121192,Protein
2610020H08Rik,3,0.260207859,0.221245182,0.207129237,0.133364517,0.467522274,0.361595639,0.316505017,0.26482278,0.400897019,0.491672593,0.381421958,0.218381611,Protein
2610029I01Rik,12,0.612954363,0.550714979,0.595513858,0.513654339,0.632801352,0.53717788,0.688131383,0.565330606,0.696372991,0.727026142,0.833196852,0.629579817,Protein
2610042L04Rik,19,1.440498196,1.713317463,1.752518615,1.212360755,1.411934371,1.677432653,1.667525796,1.080391962,1.45548288,1.759997028,1.745038859,1.205850992,Protein
2610109H07Rik,19,1.843530514,1.865313073,1.772719139,1.625176584,2.036995974,1.842727157,1.876472452,1.853231429,1.827655477,1.801839844,1.715469334,1.477320984,Protein
2610203C20Rik,19,2.337365404,2.199154317,2.097701445,1.62926379,2.358882403,2.018712978,1.863900742,1.537034138,2.315670222,2.209547183,2.184506887,1.699374578,Protein
2610301B20Rik,13,1.123600135,1.113237886,1.09654853,0.859424729,1.217423402,1.223327175,1.208113362,0.974683903,1.310234353,1.263216956,1.256926907,1.051854547,Protein
2610305D13Rik,16,0.114644005,0.225891053,0.116542661,0.040627416,0.198018094,0.388795446,0.204642992,0.068675559,0.147501335,0.287316123,0.120195404,0.053306292,Protein
2610318N02Rik,19,0.798663764,0.710867631,0.628170195,0.431924767,0.722830462,0.543397473,0.485569539,0.377874251,0.701604247,0.519782069,0.498273327,0.363324235,Protein
2610507B11Rik,19,1.45370964,1.387469914,1.327457023,1.351751871,1.440408411,1.350298425,1.285530305,1.235427436,1.377917913,1.34801069,1.325037183,1.358483083,Protein
2610524H06Rik,18,1.661604477,1.69606618,1.734566224,1.883322383,1.652241505,1.768587048,1.810167302,1.995466708,1.69089482,1.721694403,1.788929487,1.967809036,Protein
2610528E23Rik,18,0.699246128,0.776499241,0.830720156,0.927568471,0.782810755,0.840775221,0.914363258,1.101973782,0.816980629,0.971255897,0.960193368,1.066717173,Protein
2700049A03Rik,19,1.026532856,0.957997354,0.832138327,0.547028505,1.044551519,0.818028502,0.671208955,0.456672664,0.988599977,0.93415492,0.806405884,0.542109309,Protein
2700050L05Rik,19,1.100773631,1.04070833,0.950805741,0.793622779,1.243876048,1.021548994,0.905619429,0.740177878,1.018679283,1.009297038,0.945351871,0.793493539,Protein
2700078E11Rik,19,1.109041674,1.117552998,1.076502088,0.990082999,1.157692438,1.14015594,1.107525397,0.993935052,1.202540081,1.161167282,1.066322197,0.993487814,Protein
2700089E24Rik,8,1.13041097,1.170291059,1.251448403,1.314381323,0.980465615,1.085404757,1.203810438,1.239051598,1.035834224,1.122199489,1.206210414,1.257402554,Protein
2810002D19Rik,19,0.326933629,0.344437469,0.461078135,0.247963206,0.345986996,0.351138959,0.497893983,0.29396948,0.438505958,0.469394872,0.550558536,0.349980379,Protein
2810002N01Rik,18,1.157592747,1.145650049,1.098221338,1.280134289,1.12184206,1.202703504,1.168845016,1.343477524,1.058171599,1.081710868,1.080207862,1.226550932,Protein
2810008M24Rik,10,1.629696995,1.326729006,0.96992307,0.780784486,1.343776751,0.968759781,0.976187604,0.897130943,0.93863979,0.870542015,0.772161751,0.739073688,Protein
2810021B07Rik,19,0.823217228,0.862282879,0.818625683,0.633568433,0.771058069,0.810933814,0.775983788,0.626899559,0.743795803,0.799376395,0.817867354,0.618743457,Protein
2810030E01Rik,10,0.943344614,0.953532582,0.876084991,0.974874911,0.954732503,0.723956177,0.650244366,0.674472581,0.901626666,0.579919578,0.550851821,0.610888959,Protein
2810046L04Rik,19,1.487716578,1.484954347,1.375006647,1.337738717,1.361404827,1.134744317,0.997719187,0.846489274,1.349256152,1.309293672,1.134499042,1.053466445,Protein
2810055F11Rik,15,0.64923942,0.624127332,0.731094565,0.582517884,0.581592433,0.36483043,0.512721742,0.359657176,0.411592772,0.476476573,0.680584776,0.495756577,Protein
2810055G20Rik,12,0.585487802,0.528550351,0.574038216,0.573856357,0.66633449,0.475491042,0.498690912,0.466554756,0.55530731,0.591579887,0.77509977,0.591927883,Protein
2810405K02Rik,14,1.057677513,1.027310458,1.117241458,1.177273824,1.002746893,1.064817257,1.207044317,1.310272618,0.936121997,0.972908341,1.077178882,1.144159952,Protein
2810407C02Rik,18,1.346769463,1.279532347,1.335002305,1.509492851,1.363100302,1.397717593,1.542970997,1.775874657,1.3709089,1.392684645,1.459951583,1.6620416,Protein
2810408A11Rik,19,1.122274873,1.092924063,0.937817181,0.813634355,1.150188263,0.917828353,0.679117965,0.601434157,1.015574334,0.955174277,0.849292854,0.788345872,Protein
